Unnamed: 0,en,bg
0,about,относно
1,up,нагоре
2,at,при
3,him,него
4,now,сега
5,oh,ох
6,one,един
7,come,идвам
9,her,тя
10,how,как
11,yeah,да
12,ve,съм
13,will,ще
14,got,има
16,think,мисля
17,as,като
18,see,виждам
19,did,Направих
20,good,добре
21,who,Кой
22,why,защо
23,from,от
24,let,позволявам
25,his,му
26,yes,да
27,when,кога
28,going,ще
29,time,път
30,an,един
31,okay,добре
32,back,обратно
33,look,виж
34,us,нас
35,would,би се
36,them,тях
37,where,където
38,were,са били
39,take,предприеме
40,then,тогава
41,had,имах
42,or,или
43,been,е
44,our,наш
45,gonna,ще
46,tell,казвам
47,really,наистина ли
48,man,мъж
49,some,някои
50,say,казвам
51,hey,Хей
52,could,бих могъл
53,d,д
54,didn,Не мислех
55,by,от
56,need,трябва
57,something,нещо
58,has,има
59,too,също
60,more,Повече ▼
61,way,път
62,down,надолу
63,make,грим
64,very,много
65,never,никога
66,only,само
67,people,хора
68,over,над
69,because,защото
70,little,малко
71,please,Моля те
72,love,любов
73,should,Трябва
74,mean,означава
75,said,казах
76,sorry,съжалявам
77,give,давам
78,off,от
79,am,ч
80,thank,благодаря
81,any,който и да е
82,two,две
83,even,дори
84,much,много
85,doing,правене
86,sure,сигурен
87,thing,нещо
88,these,тези
90,first,първи
91,into,в
92,anything,нищо
93,still,все още
94,find,намирам
95,life,живот
96,nothing,Нищо
97,sir,господине
98,day,ден
99,god,Бог
100,work,работа
101,their,техен
102,uh,ъ-ъ
103,again,отново
104,maybe,може би
105,must,трябва да
106,before,преди
107,other,друг
108,wait,изчакайте
109,stop,Спри се
110,call,обади се
111,after,след
113,talk,говоря
114,away,далеч
115,than,от
116,thought,мисъл
117,home,У дома
118,night,нощ
119,put,слагам
120,great,страхотен
121,those,тези
122,last,последно
123,better,По-добре
124,everything,всичко
125,told,каза
126,mr.,г-н.
128,things,вещи
129,always,винаги
130,keep,пазя
131,long,дълго
132,years,години
133,leave,отпуск
134,does,прави
135,money,пари
136,around,около
137,doesn,неотворено
138,name,име
139,place,място
140,ever,някога
141,feel,Усещам
143,father,баща
144,guy,човек
145,made,изработен
146,old,стар
147,isn,нали
148,which,който
149,big,голям
150,lot,много
151,done,Свършен
152,hello,Здравейте
153,nice,приятен
154,believe,вярвам
156,someone,някой
157,fine,глоба
158,thanks,Благодаря
159,wanted,търси се
160,kind,мил
161,coming,идващ
162,house,къща
163,every,всеки
164,ok,Добре
165,through,през
166,being,същество
167,course,курс
168,stay,престой
170,dad,татко
171,enough,достатъчно
172,happened,се случи
173,came,дойде
174,may,може
175,mother,майка
176,wrong,погрешно
177,world,свят
178,bad,лошо
179,might,"биха могли, може"
181,today,днес
182,listen,слушам
183,another,друг
184,understand,разбирам
185,hear,чувам
186,remember,помня
187,ask,питам
188,own,собствен
189,same,същото
190,show,шоу
191,else,още
192,kill,убийство
193,talking,говорим
194,found,намерено
195,next,следващия
196,getting,получаване на
197,care,грижа
198,car,кола
199,looking,търси
200,son,син
201,try,опитвам
202,woman,жена
203,went,отидох
204,hi,здрасти
205,dead,мъртъв
206,many,много
207,mind,ум
208,wasn,Не беше
209,friend,приятел
210,best,най-доброто
211,mom,мама
