en,bg
about,относно
up,нагоре
at,при
him,него
now,сега
oh,ох
one,един
come,идвам
well,добре
her,тя
how,как
yeah,да
ve,съм
will,ще
got,има
want,искам
think,мисля
as,като
see,виждам
did,Направих
good,добре
who,Кой
why,защо
from,от
let,позволявам
his,му
yes,да
when,кога
going,ще
time,път
an,един
okay,добре
back,обратно
look,виж
us,нас
would,би се
them,тях
where,където
were,са били
take,предприеме
then,тогава
had,имах
or,или
been,е
our,наш
gonna,ще
tell,казвам
really,наистина ли
man,мъж
some,някои
say,казвам
hey,Хей
could,бих могъл
d,д
didn,Не мислех
by,от
need,трябва
something,нещо
has,има
too,също
more,Повече ▼
way,път
down,надолу
make,грим
very,много
never,никога
only,само
people,хора
over,над
because,защото
little,малко
please,Моля те
love,любов
should,Трябва
mean,означава
said,казах
sorry,съжалявам
give,давам
off,от
am,ч
thank,благодаря
any,който и да е
two,две
even,дори
much,много
doing,правене
sure,сигурен
thing,нещо
these,тези
help,помогне
first,първи
into,в
anything,нищо
still,все още
find,намирам
life,живот
nothing,Нищо
sir,господине
day,ден
god,Бог
work,работа
their,техен
uh,ъ-ъ
again,отново
maybe,може би
must,трябва да
before,преди
other,друг
wait,изчакайте
stop,Спри се
call,обади се
after,след
won,Спечелени
talk,говоря
away,далеч
than,от
thought,мисъл
home,У дома
night,нощ
put,слагам
great,страхотен
those,тези
last,последно
better,По-добре
everything,всичко
told,каза
mr.,г-н.
new,нов
things,вещи
always,винаги
keep,пазя
long,дълго
years,години
leave,отпуск
does,прави
money,пари
around,около
doesn,неотворено
name,име
place,място
ever,някога
feel,Усещам
guys,момчета
father,баща
guy,човек
made,изработен
old,стар
isn,нали
which,който
big,голям
lot,много
done,Свършен
hello,Здравейте
nice,приятен
believe,вярвам
girl,момиче
someone,някой
fine,глоба
thanks,Благодаря
wanted,търси се
kind,мил
coming,идващ
house,къща
every,всеки
ok,Добре
through,през
being,същество
course,курс
stay,престой
left,наляво
dad,татко
enough,достатъчно
happened,се случи
came,дойде
may,може
mother,майка
wrong,погрешно
world,свят
bad,лошо
might,"биха могли, може"
